author_name,affliations,article_title,doi,volume
Z. Yin,,Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
C. Zhang,University of Washington,Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
M. Tambe,"Director CRCS Center & CS Professor @Harvard; Director ""AI for Social Good"" @Google Research India",Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
S. Kraus,"Professor Of Computer Science, Bar-Ilan University",Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
J. P. Sullivan,,Game-Theoretic Patrolling with Dynamic Execution Uncertainty and a Case Study on a Real Transit System,10.1613/jair.4317,Vol. 50 (2014)
M. Suda,Czech Technical University in Prague,Property Directed Reachability for Automated Planning,10.1613/jair.4231,Vol. 50 (2014)
N. Rivera,Molecular Biology Institute of Barcelona ,Reconnection with the Ideal Tree: A New Approach to Real-Time Search,10.1613/jair.4292,Vol. 50 (2014)
L. Illanes,"PhD Student, University of Toronto",Reconnection with the Ideal Tree: A New Approach to Real-Time Search,10.1613/jair.4292,Vol. 50 (2014)
J. A. Baier,Pontificia Universidad CatÛlica de Chile,Reconnection with the Ideal Tree: A New Approach to Real-Time Search,10.1613/jair.4292,Vol. 50 (2014)
C. Hernandez,"Biomedical Engineering Department, Case Western Reserve University",Reconnection with the Ideal Tree: A New Approach to Real-Time Search,10.1613/jair.4292,Vol. 50 (2014)
M. Goldenberg,Jerusalem College of Technology,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
A. Felner,Ben-Gurion University,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
R. Stern,University of Sheffield,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
G. Sharon,Texas A&M University,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
N. Sturtevant,University of Alberta,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
R. C. Holte,University of Alberta,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
J. Schaeffer,University of Alberta,Enhanced Partial Expansion A*,10.1613/jair.4171,Vol. 50 (2014)
J. De Bock,Ghent University,An Efficient Algorithm for Estimating State Sequences in Imprecise Hidden Markov Models,10.1613/jair.4385,Vol. 50 (2014)
G. de Cooman,"Professor in Uncertainty Modelling and Systems Science, Ghent University",An Efficient Algorithm for Estimating State Sequences in Imprecise Hidden Markov Models,10.1613/jair.4385,Vol. 50 (2014)
B. de Keijzer,"Postdoctoral researcher, Centrum Wiskunde & Informatica (CWI)",Finding Optimal Solutions for Voting Game Design Problems,10.1613/jair.4109,Vol. 50 (2014)
T. B. Klos,"Assistant professor of Algorithmics, University of Utrecht",Finding Optimal Solutions for Voting Game Design Problems,10.1613/jair.4109,Vol. 50 (2014)
Y. Zhang,University of Michigan,Finding Optimal Solutions for Voting Game Design Problems,10.1613/jair.4109,Vol. 50 (2014)
A. Fern,Oregon State University,A Decision-Theoretic Model of Assistance,10.1613/jair.4213,Vol. 50 (2014)
S. Natarajan,"Professor of Agronomy, Annamalai University",A Decision-Theoretic Model of Assistance,10.1613/jair.4213,Vol. 50 (2014)
K. Judah,"Lookout, Inc.",A Decision-Theoretic Model of Assistance,10.1613/jair.4213,Vol. 50 (2014)
P. Tadepalli,"Professor of Computer Science, Oregon State University",A Decision-Theoretic Model of Assistance,10.1613/jair.4213,Vol. 50 (2014)
Y. Wang,"Professor, School of Information Engineering, Nanchang University",Knowledge Forgetting in Answer Set Programming,10.1613/jair.4297,Vol. 50 (2014)
Y. Zhang,"Post Doctoral Fellow in Bioinformatics, University of Texas Southwestern Medical Center",Knowledge Forgetting in Answer Set Programming,10.1613/jair.4297,Vol. 50 (2014)
Y. Zhou,Unknown affiliation,Knowledge Forgetting in Answer Set Programming,10.1613/jair.4297,Vol. 50 (2014)
M. Zhang,GE Healthcare,Knowledge Forgetting in Answer Set Programming,10.1613/jair.4297,Vol. 50 (2014)
M. Zhang,GE Healthcare,Topic-Based Dissimilarity and Sensitivity Models for Translation Rule Selection,10.1613/jair.4265,Vol. 50 (2014)
X. Xiao,,Topic-Based Dissimilarity and Sensitivity Models for Translation Rule Selection,10.1613/jair.4265,Vol. 50 (2014)
D. Xiong,,Topic-Based Dissimilarity and Sensitivity Models for Translation Rule Selection,10.1613/jair.4265,Vol. 50 (2014)
Q. Liu,GuangDong University of Technology,Topic-Based Dissimilarity and Sensitivity Models for Translation Rule Selection,10.1613/jair.4265,Vol. 50 (2014)
Aaron Hunter,University of Notre Dame,Belief Change with Uncertain Action Histories,10.1613/jair.4558,Vol. 53 (2015)
James Delgrande,Simon Fraser University ∑ School of Computing Science,Belief Change with Uncertain Action Histories,10.1613/jair.4558,Vol. 53 (2015)
Marius Lindauer,University of Freiburg,AutoFolio: An Automatically Configured Algorithm Selector,10.1613/jair.4726,Vol. 53 (2015)
Holger H. Hoos,Leiden University | LEI ∑ Leiden Institute of Advanced Computer Science,AutoFolio: An Automatically Configured Algorithm Selector,10.1613/jair.4726,Vol. 53 (2015)
Frank Hutter,University of Freiburg | Albert-Ludwigs-Universit‰t Freiburg ∑ Department of Computer Science,AutoFolio: An Automatically Configured Algorithm Selector,10.1613/jair.4726,Vol. 53 (2015)
Torsten Schaub,"University of Potsdam, Germany",AutoFolio: An Automatically Configured Algorithm Selector,10.1613/jair.4726,Vol. 53 (2015)
Piotr Krysta,"University of Liverpool, UK",Mechanisms for Multi-unit Combinatorial Auctions with a Few Distinct Goods,10.1613/jair.4587,Vol. 53 (2015)
Orestis Telelis,University of Piraeus,Mechanisms for Multi-unit Combinatorial Auctions with a Few Distinct Goods,10.1613/jair.4587,Vol. 53 (2015)
Carmine Ventre,King's College London,Mechanisms for Multi-unit Combinatorial Auctions with a Few Distinct Goods,10.1613/jair.4587,Vol. 53 (2015)
Johan Kwisthout,Radboud University | RU ∑ Business and Law Research Centre (OO&R),Tree-Width and the Computational Complexity of MAP Approximations in Bayesian Networks,10.1613/jair.4794,Vol. 53 (2015)
Tatsuya Imai,Nanzan University ∑ Department of British and American Studies,"On a Practical,  Integer-Linear Programming Model for Delete-Free Tasks and its Use as a Heuristic for Cost-Optimal Planning",10.1613/jair.4936,Vol. 54 (2015)
Alex Fukunaga,Harvard University ,"On a Practical,  Integer-Linear Programming Model for Delete-Free Tasks and its Use as a Heuristic for Cost-Optimal Planning",10.1613/jair.4936,Vol. 54 (2015)
Andreas Steigmiller,Ulm University,Pay-As-You-Go Description Logic Reasoning by Coupling Tableau and Saturation Procedures,10.1613/jair.4897,Vol. 54 (2015)
Birte Glimm,Ulm University,Pay-As-You-Go Description Logic Reasoning by Coupling Tableau and Saturation Procedures,10.1613/jair.4897,Vol. 54 (2015)
Ben Strasser,Karlsruhe Institute of Technology | KIT ∑ Institute of Theoretical Informatics,Compressing Optimal Paths with Run Length Encoding,10.1613/jair.4931,Vol. 54 (2015)
Adi Botea,IBM ∑ Smarter Cities Technology Centre,Compressing Optimal Paths with Run Length Encoding,10.1613/jair.4931,Vol. 54 (2015)
Daniel Harabor,Monash University (Australia),Compressing Optimal Paths with Run Length Encoding,10.1613/jair.4931,Vol. 54 (2015)
Haris Aziz,National ICT Australia Ltd | NICTA ∑ Optimisation Research Group (ORG@NICTA),Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Markus Brill,Technische Universit‰t Berlin,Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Felix Fischer,Lawrence Berkeley National Laboratory,Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Paul Harrenstein,"Post-doctoral researcher, University of Oxford",Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Jerome Lang,chercheur CNRS,Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Hans Georg Seedig,Technische Universit‰t M¸nchen,Possible and Necessary Winners of Partial Tournaments,10.1613/jair.4856,Vol. 54 (2015)
Fazlul Hasan Siddiqui,"Dhaka University of Engineering & Technology, Gazipur ∑ Computer Science and Engineering",Continuing Plan Quality Optimisation,10.1613/jair.4980,Vol. 54 (2015)
Patrik Haslum,Australian National University | ANU ∑ College of Engineering & Computer Science,Continuing Plan Quality Optimisation,10.1613/jair.4980,Vol. 54 (2015)
Joseph Y. Halpern,Cornell University | CU ∑ Department of Computer Science,Weighted Regret-Based Likelihood: A New Approach to Describing Uncertainty,10.1613/jair.4859,Vol. 54 (2015)
Igor Rochlin,College of Management Academic Studies ∑ School of Computer Science,Constraining Information Sharing to Improve Cooperative Information Gathering,10.1613/jair.4613,Vol. 54 (2015)
David Sarne,University of Chicago,Constraining Information Sharing to Improve Cooperative Information Gathering,10.1613/jair.4613,Vol. 54 (2015)
